title,address,website,phone,profiles
Om Ayishman Hospital,"6367+H63, Agra, Nagla Rambal, Kalindi Vihar, Agra, Uttar Pradesh 282006",,,
Janhit Hospital,"E-6 Firozabad Road Opp. Saiyad, Rambagh, T.Y.C. Phase-II, Agra, Uttar Pradesh 282006",#,092590 02757,
Madhuban hospital in agra,"52G5+M68, Sewala Jat, Panchkuian, Rakabganj, Agra, Uttar Pradesh 282001",,,
Navdeep Hospital and Research Center,"65, M.G Rd 2, Saket Colony, Shahganj, Agra, Uttar Pradesh 282010",http://www.navdeephospitalagra.com/,0562 221 2727,
S.R. Medical Institute & Research Centre,"Lauries complex, Namner Rd, near Sai ki Takiya x-ing, Katlupur, Rakabganj, Agra, Uttar Pradesh 282001",#,093599 01993,
Amardeep Hospital Agra,"G-691, near Union Bank Of India, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",,,
"Sarvoday Hospital, KamlaNagar, Agra","G-11, National Highway 2, Kamla Nagar, Agra, Uttar Pradesh 282005",#,093681 58483,
Katyayani Hospital,"Bhagwan Enclave, Gwalior Rd, Agra, Uttar Pradesh 282001",#,094125 26276,
Care Hospital,"27/144, Panchkuiyan Rd, Ashok Nagar, Shahganj, Agra, Uttar Pradesh 282002",#,0562 221 0447,
R s Hospital F7 Trans yamuna colony Rambagh Agra,"F7, Fase 2, Rambagh, Sri Nagar Colony, Trans Yamuna Colony, Agra, Uttar Pradesh 282006",https://r-s-hospital-f7-trans-yamuna-colony-rambagh-agra.business.site/?utm_source=gmb&utm_medium=referral,070784 01190,
TB Hospital,"52P4+P5V, Nai ki Mandi, Mantola, Agra, Uttar Pradesh 282002",,,
Sarthak Nursing Home ( Hospital ),"G-23, Bypass Rd, near Langre Ki Chowki, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",#,098375 23666,<br/>https://www.facebook.com/Sarthak-Nursing-Home-101768501634512/
Shivam hospital in Kamla nagar,"9, Mahatma Gandhi Rd, Sewala Jat, Chhipitola, Rakabganj, Agra, Uttar Pradesh 282001",,,
"State Ayurvedic Hospital, Agra","52Q3+C9V, Mantola, Agra, Uttar Pradesh 282002",,,
Sushruta health care Agra,"100 Feet Rd, in front of double tree by hilton, Tajganj, Agra, Uttar Pradesh 282001",http://sushrutahospitalagra.com/,097611 23902,
Amit Jaggi Memorial Hospital,"525M+7QP, SECTOR-1, Vibhav Nagar, Tajganj, Agra, Uttar Pradesh 282001",http://www.ajmh.in/,0562 223 0515,<br/>https://in.linkedin.com/in/amit-jatav-3b2623208
Deepak Hospital,"130, near See Cable Office, Manas Nagar, Pandav Nagar, Shahganj, Agra, Uttar Pradesh 282010",https://website-241020886928393451610-hospital.business.site/?m=true,098370 73714,
Vaijayanti Hospital,"5267+JJ9, Sadar Bazar, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001",,,
R M Hospital,"42XP+CP7, Shaheed Nagar Rd, Shamsabad, Agra, Uttar Pradesh 282001",#,0562 400 0559,
Ramved Hospital,"A-16, Near New Agra Police Station, Indra Puri, New Agra Colony, Agra, Uttar Pradesh 282005",#,074550 03391,<br/>https://www.facebook.com/ramvedhospitalsagra/
Varshha Hospital,"5XXR+HGC, Unnamed Road, Billochpura, Lohamandi, Agra, Uttar Pradesh 282002",,,
Hridyam Hospital,"E 31, Professors Colony, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",http://www.hridyamhospitals.com/,,<br/>https://www.facebook.com/hridyamhospital/
Dr Rajiv Krishak,"Rajpur,, 141-MIG, Minto Rd, Near Shaheed Nagar Tiraha, Shaheed Nagar, Rajpur, Agra, Uttar Pradesh 282001",#,098370 98793,
Bone Hospital,"33/126,BONE HOSPITAL,OLD RTO COMPOUND, Mahatma Gandhi Rd, Pratap Pura, Rakabganj, Agra, Uttar Pradesh 282001",#,0562 225 2590,
Pushpanjali Hospital Blood Bank Agra,"5XXW+3M7, Hariparwat, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",http://www.pushpanjalihospital.in/,0562 402 4000,
